#Problem,Name,Difficulty,Leetcode Links,Progress
1,Two Sum,Easy,https://leetcode.com/problems/two-sum,Done
482,License Key Formatting,Easy,https://leetcode.com/problems/license-key-formatting,Done
686,Repeated String Match,Easy,https://leetcode.com/problems/repeated-string-match,
844,Backspace String Compare,Easy,https://leetcode.com/problems/backspace-string-compare,
346,Moving Average from Data Stream,Easy,https://leetcode.com/problems/moving-average-from-data-stream,
66,Plus One,Easy,https://leetcode.com/problems/plus-one,
734,Sentence Similarity,Easy,https://leetcode.com/problems/sentence-similarity,
359,Logger Rate Limiter,Easy,https://leetcode.com/problems/logger-rate-limiter,
299,Bulls and Cows,Easy,https://leetcode.com/problems/bulls-and-cows,
246,Strobogrammatic Number,Easy,https://leetcode.com/problems/strobogrammatic-number,
205,Isomorphic Strings,Easy,https://leetcode.com/problems/isomorphic-strings,
766,Toeplitz Matrix,Easy,https://leetcode.com/problems/toeplitz-matrix,
157,Read N Characters Given Read4,Easy,https://leetcode.com/problems/read-n-characters-given-read4,
345,Reverse Vowels of a String,Easy,https://leetcode.com/problems/reverse-vowels-of-a-string,
849,Maximize Distance to Closest Person,Easy,https://leetcode.com/problems/maximize-distance-to-closest-person,
276,Paint Fence,Easy,https://leetcode.com/problems/paint-fence,
687,Longest Univalue Path,Easy,https://leetcode.com/problems/longest-univalue-path,
20,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses,
226,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree,
1170,Compare Strings by Frequency of the Smallest Character,Easy,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,
401,Binary Watch,Easy,https://leetcode.com/problems/binary-watch,
788,Rotated Digits,Easy,https://leetcode.com/problems/rotated-digits,
38,Count and Say,Easy,https://leetcode.com/problems/count-and-say,
447,Number of Boomerangs,Easy,https://leetcode.com/problems/number-of-boomerangs,
293,Flip Game,Easy,https://leetcode.com/problems/flip-game,
459,Repeated Substring Pattern,Easy,https://leetcode.com/problems/repeated-substring-pattern,
53,Maximum Subarray,Easy,https://leetcode.com/problems/maximum-subarray,
155,Min Stack,Easy,https://leetcode.com/problems/min-stack,
800,Similar RGB Color,Easy,https://leetcode.com/problems/similar-rgb-color,
168,Excel Sheet Column Title,Easy,https://leetcode.com/problems/excel-sheet-column-title,
475,Heaters,Easy,https://leetcode.com/problems/heaters,
463,Island Perimeter,Easy,https://leetcode.com/problems/island-perimeter,
266,Palindrome Permutation,Easy,https://leetcode.com/problems/palindrome-permutation,
392,Is Subsequence,Easy,https://leetcode.com/problems/is-subsequence,
171,Excel Sheet Column Number,Easy,https://leetcode.com/problems/excel-sheet-column-number,
852,Peak Index in a Mountain Array,Easy,https://leetcode.com/problems/peak-index-in-a-mountain-array,
121,Best Time to Buy and Sell Stock,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,
21,Merge Two Sorted Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists,
198,House Robber,Easy,https://leetcode.com/problems/house-robber,
840,Magic Squares In Grid,Easy,https://leetcode.com/problems/magic-squares-in-grid,
206,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list,
